room_id,rating,comments,sentiment_score,sentiment_type
1508718511630646313,5.0,"The room looked like the photos and was very clean. The view was amazing!The breakfast was also very good. It is a nice place to stay in Cairo and close to the museum and pyramids.Adel and his Co-hosts were very welcoming, friendly and always responsive. They gave local recommendations and helped us when we needed something. A great host! Would absolutely recommend.",0.4702083333333334,Positive
1508718511630646313,5.0,"We had a lovely stay. The hosts were very kind, helpful, hospitable and responsive. The room is located really close to the Great Pyramids so you get a wonderful view of them, just like the pictures. The room was also clean. There are local shops and stores nearby so buying necessities is not a problem. Overall, really great value for money. Can’t recommend this place enough.",0.4446666666666667,Positive
1508718511630646313,5.0,"Axel’s space is beautiful and spotlessly clean, and Adel, Rona and Samira are exceptional hosts. They all received us with such warmth and kindness, were incredibly helpful with check in, made a fabulous early morning breakfast for us before our ride to the airport (which they organized for us). Adel is super responsive with messages making our experience smooth and easy. Highly recommend this beautiful Airbnb",0.455,Positive
1508718511630646313,5.0,"Our stay was amazing! The suite looks exactly as described, it was very clean and the whirlpool was so nice. The view of the pyramid was great and just like the pictures. Breakfast was also very good. The communication with the host was very good, he answers very quick and helps you immediately with everything you need. Would definitely recomment staying here!",0.5700000000000001,Positive
1508718511630646313,5.0,"The place was amazing, looks exactly like the photos and was magical! The hosts are so kind and very responsive, greeted us at the door. Rona took us to the pyramids and a lovely restaurant, she knew all the spots and was lovely. Would definitely go back!",0.40937500000000004,Positive
1508718511630646313,5.0,Was an amazing stay here. The host was very friendly and responsive. They even microwaved our leftovers for us which was very helpful. The view of the pyramids was stunning. I enjoyed my morning cup of coffee on the balcony with such a stunning view. The bathtub was great with jets as well. The tv had YouTube which was also a plus. They provide breakfast and coffee in the morning. The entire family was so friendly. Definitely recommend staying here.,0.3602272727272728,Positive
1508718511630646313,5.0,"Cinthya
Mexico
Rating, 5 stars
,
·
February 2026
,
·
Stayed one night
Adel was such a host! 
He and his staff were always amiable and giving recommendations.
His place has an amazing view and is just walking distance from the pyramids.
I’ll definitely come back again :)",0.22000000000000003,Positive
1508718511630646313,5.0,Adel was very welcoming. The room was very good. The staff was friendly. The Khufu’s Pyramid view was great. The area is noisy and a bit uncomfortable for a female foreigner. Overall experience after checking in was great.,0.323125,Positive
1508718511630646313,5.0,The view is absolutely stunning and the location is convenient close to Carrefour. The place was clean and the hosts were extremely sweet and responsive. The only minor issue was that the shower drain was a bit slow but hot water worked well👍 I would definitely stay here again if I'm back in Cairo.,0.12407407407407407,Positive
1508718511630646313,5.0,"The crew was always there, asking if we needed anything and fulfilling every wish. When we didn’t have the energy to haggle for a taxi price, the host personally took us to the pyramids, which was greatly appreciated. The view from the rooftop is breathtaking, and the whirlpool is a very nice bonus. Highly recommended!",0.43600000000000005,Positive
1508718511630646313,5.0,"The room was beautiful, clean, and had an amazing view of the Pyramids.The host family was extremely kind, respectful, and welcoming.Special thanks to Rona, who was very helpful and took us on an incredible sightseeing tour.They also offer a breakfast service with a stunning Pyramid view, which was a great experience.I would definitely visit again.",0.5015151515151516,Positive
1508718511630646313,5.0,"We had a wonderful stay with an incredible view. Breakfast was delicious every day, and the whole family was genuinely warm and welcoming. 🤍 The highlight of our trip was when my husband lost his wallet in the desert during a quad-bike tour—Ibraheem went out of his way, searching with a torch late into the evening, and miraculously found it. We were so grateful for his time 🤣",0.5666666666666668,Positive
1508718511630646313,5.0,"It was perfect! The boys were always helpful and always there for us when we had any questions. Also thank you for the perfect birthday surprise with a cake and sweets, it was the perfect birthday for me. The family was so nice and friendly, we really felt like home and we would come definitely a second time. The perfect trip to Giza for us. Thank you 🙏",0.646875,Positive
1508718511630646313,5.0,"Honestly the best stay ever. So hospitable, so nice and caring. Referred to my every single need within minutes. The room was exactly how described. Beautiful and immaculate. Highly recommend to anyone visiting and definitely will be visiting again. All the hosts are amazing! Special thanks to Omar, Adel, Ibraheem, Mohammed and their family for being so amazing.",0.4413095238095239,Positive
1508718511630646313,5.0,Beautiful place and friendly staff! They helped us with everything we needed the whole stay. We also booked driver the whole day and we felt very taken care of and safe. Great Experience,0.45982142857142855,Positive
1508718511630646313,5.0,"Angela Fabiola
Olympia, Washington
Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights
We had a great time! 
 The view is spectacular,  the attention was amazing.  We did a tour to the pyramids and we had a wonderful guide. 
 Definitely recommend  Adel’s place !",0.5,Positive
1508718511630646313,5.0,Zeina and her cousins were great! They greeted us on the road and helped us up with our luggage and were on hand whenever we needed something. We enjoyed our stay here and would definitely recommend this place to stay. It is close to the Pyramids and has a great view of them too.,0.575,Positive
